hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,1,11,2015,August,34,16,1,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,E,E,0,No Deposit,110.0,0,Transient,185.0,0,0,Canceled,2015-08-11
Resort Hotel,1,1,2015,August,34,18,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,E,E,0,No Deposit,110.0,0,Transient,172.55,0,0,Canceled,2015-08-18
Resort Hotel,0,40,2015,August,35,24,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,154.0,0,Transient,99.5,0,0,Check-Out,2015-08-25
Resort Hotel,1,2,2015,August,35,26,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,110.0,0,Transient,137.7,0,0,Canceled,2015-08-25
Resort Hotel,0,154,2015,September,36,3,0,3,2,0.0,0,BB,ITA,Corporate,Direct,0,0,0,A,A,0,No Deposit,268.0,0,Transient-Party,88.2,0,0,Check-Out,2015-09-06
Resort Hotel,0,154,2015,September,36,3,0,3,2,0.0,0,BB,ITA,Corporate,Direct,0,0,0,A,A,0,No Deposit,268.0,0,Transient-Party,88.2,0,0,Check-Out,2015-09-06
Resort Hotel,0,154,2015,September,36,3,0,3,1,0.0,0,BB,ITA,Corporate,Direct,0,0,0,A,A,1,No Deposit,268.0,0,Transient-Party,80.0,0,0,Check-Out,2015-09-06
Resort Hotel,0,154,2015,September,36,3,0,3,2,0.0,0,BB,ITA,Corporate,Direct,0,0,0,A,A,0,No Deposit,268.0,0,Transient-Party,88.2,0,0,Check-Out,2015-09-06
Resort Hotel,0,154,2015,September,36,3,0,3,2,0.0,0,BB,PRT,Corporate,Direct,0,0,0,A,A,0,No Deposit,268.0,0,Transient,88.2,0,0,Check-Out,2015-09-06
Resort Hotel,0,6,2015,September,36,3,0,3,2,0.0,0,BB,FRA,Corporate,Direct,0,0,0,A,A,0,No Deposit,268.0,0,Transient-Party,88.2,0,0,Check-Out,2015-09-06
Resort Hotel,0,0,2015,September,36,4,0,1,2,0.0,0,BB,ITA,Corporate,Corporate,0,0,0,D,F,1,No Deposit,110.0,0,Transient,124.1,1,0,Check-Out,2015-09-05
Resort Hotel,0,28,2015,September,37,9,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,154.0,0,Transient,80.0,0,0,Check-Out,2015-09-10
Resort Hotel,0,3,2015,September,37,11,0,1,1,0.0,0,BB,GBR,Corporate,Direct,0,0,0,A,D,0,No Deposit,59.0,0,Transient,134.0,0,0,Check-Out,2015-09-12
Resort Hotel,0,6,2015,September,38,16,0,2,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,204.0,0,Transient,55.0,0,0,Check-Out,2015-09-18
Resort Hotel,0,21,2015,September,39,23,0,1,2,0.0,0,HB,DEU,Corporate,Corporate,0,0,0,A,C,1,No Deposit,110.0,0,Transient-Party,108.65,0,0,Check-Out,2015-09-24
Resort Hotel,0,21,2015,September,39,23,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,C,0,No Deposit,110.0,0,Transient-Party,75.65,0,0,Check-Out,2015-09-24
Resort Hotel,0,21,2015,September,39,23,0,1,2,0.0,0,HB,DEU,Corporate,Corporate,0,0,0,A,C,0,No Deposit,110.0,0,Transient-Party,108.85,0,0,Check-Out,2015-09-24
Resort Hotel,1,21,2015,September,39,23,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,C,0,No Deposit,110.0,0,Transient,75.65,0,0,Canceled,2015-09-22
Resort Hotel,1,21,2015,September,39,23,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,C,0,No Deposit,110.0,0,Transient-Party,75.65,0,0,Canceled,2015-09-22
Resort Hotel,0,0,2015,September,39,25,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Group,80.1,0,0,Check-Out,2015-09-26
Resort Hotel,0,16,2015,September,39,25,0,1,1,0.0,0,SC,PRT,Direct,Direct,0,0,0,A,A,4,No Deposit,312.0,0,Transient-Party,80.0,0,1,Check-Out,2015-09-26
Resort Hotel,0,16,2015,September,39,25,0,1,1,0.0,0,SC,PRT,Direct,Direct,0,0,0,A,A,4,No Deposit,312.0,0,Transient-Party,80.0,0,1,Check-Out,2015-09-26
Resort Hotel,0,10,2015,September,39,26,1,1,2,0.0,0,BB,GBR,Corporate,Corporate,0,0,0,E,F,0,No Deposit,110.0,0,Transient-Party,104.72,0,0,Check-Out,2015-09-28
Resort Hotel,0,11,2015,September,40,27,1,1,2,0.0,0,BB,DEU,Corporate,Corporate,0,0,0,D,D,0,No Deposit,110.0,0,Transient-Party,88.4,0,0,Check-Out,2015-09-28
Resort Hotel,0,2,2015,September,40,30,0,2,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,H,1,No Deposit,318.0,0,Transient,55.5,0,1,Check-Out,2015-10-02
Resort Hotel,1,7,2015,October,41,5,1,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,F,0,No Deposit,110.0,0,Transient,56.95,0,0,Canceled,2015-10-02
Resort Hotel,1,1,2015,October,41,6,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,94.0,0,Transient,37.0,0,0,Canceled,2015-10-05
Resort Hotel,1,1,2015,October,41,6,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,94.0,0,Transient,37.0,0,0,Canceled,2015-10-05
Resort Hotel,1,1,2015,October,41,6,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,94.0,0,Transient,37.0,0,0,Canceled,2015-10-05
Resort Hotel,0,1,2015,October,41,6,0,3,1,0.0,0,SC,PRT,Corporate,Corporate,0,0,0,A,I,1,No Deposit,174.0,0,Transient-Party,65.0,0,0,Check-Out,2015-10-06
Resort Hotel,0,16,2015,October,41,9,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,274.0,0,Transient-Party,48.0,0,0,Check-Out,2015-10-10
Resort Hotel,0,6,2015,October,42,11,2,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,113.0,0,Transient,82.0,1,1,Check-Out,2015-10-13
Resort Hotel,0,5,2015,October,42,11,4,5,1,0.0,0,SC,PRT,Corporate,Corporate,0,0,0,A,I,0,No Deposit,174.0,0,Transient-Party,65.0,0,0,Check-Out,2015-10-11
Resort Hotel,0,0,2015,October,42,12,0,1,1,0.0,0,SC,PRT,Corporate,Corporate,0,0,0,A,I,0,No Deposit,174.0,0,Transient,65.0,0,0,Check-Out,2015-10-12
Resort Hotel,0,13,2015,October,42,12,1,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,195.0,0,Transient,48.0,0,0,Check-Out,2015-10-13
Resort Hotel,0,13,2015,October,42,12,1,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,195.0,0,Transient,53.0,0,1,Check-Out,2015-10-13
Resort Hotel,0,20,2015,October,42,12,1,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,195.0,0,Transient,48.0,0,0,Check-Out,2015-10-13
Resort Hotel,0,4,2015,October,42,12,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,113.0,0,Transient,48.0,0,0,Check-Out,2015-10-14
Resort Hotel,0,7,2015,October,42,15,0,1,2,0.0,0,BB,GBR,Groups,Corporate,0,0,0,A,I,3,No Deposit,223.0,0,Transient-Party,65.0,0,0,Check-Out,2015-10-15
Resort Hotel,0,7,2015,October,42,15,0,3,1,0.0,0,BB,GBR,Groups,Corporate,0,0,0,A,E,1,No Deposit,223.0,0,Transient-Party,43.0,1,0,Check-Out,2015-10-18
Resort Hotel,0,8,2015,October,42,16,0,1,2,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,2,No Deposit,223.0,0,Transient-Party,44.5,0,0,Check-Out,2015-10-17
Resort Hotel,0,8,2015,October,42,16,0,2,2,0.0,0,BB,GBR,Groups,Corporate,0,0,0,A,A,1,No Deposit,223.0,0,Transient-Party,44.5,0,1,Check-Out,2015-10-18
Resort Hotel,0,5,2015,October,43,19,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,154.0,0,Transient,37.0,0,0,Check-Out,2015-10-20
Resort Hotel,1,29,2015,October,43,22,0,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,317.0,0,Transient,56.0,0,0,Canceled,2015-10-08
Resort Hotel,0,29,2015,October,43,22,1,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,2,No Deposit,317.0,0,Transient-Party,56.0,0,0,Check-Out,2015-10-26
Resort Hotel,0,30,2015,October,43,23,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,2,No Deposit,317.0,0,Transient-Party,56.0,0,0,Check-Out,2015-10-25
Resort Hotel,0,30,2015,October,43,23,1,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,4,No Deposit,317.0,0,Transient-Party,56.0,0,0,Check-Out,2015-10-26
Resort Hotel,1,27,2015,October,44,26,5,14,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,E,0,No Deposit,281.0,0,Transient,36.0,0,3,Canceled,2015-10-26
Resort Hotel,0,24,2015,October,44,26,7,15,1,0.0,0,BB,AUT,Corporate,Corporate,0,0,0,E,G,2,No Deposit,281.0,0,Transient-Party,52.2,0,0,Check-Out,2015-11-17
Resort Hotel,0,2,2015,October,44,28,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,118.0,0,Transient,48.0,0,0,Check-Out,2015-10-29
Resort Hotel,0,0,2015,October,44,28,0,1,1,0.0,0,BB,DEU,Corporate,Corporate,0,0,0,A,D,0,No Deposit,59.0,0,Transient,48.0,0,0,Check-Out,2015-10-29
Resort Hotel,1,7,2015,October,44,29,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,274.0,0,Transient,48.0,0,0,Canceled,2015-10-26
Resort Hotel,1,33,2015,November,45,1,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,94.0,0,Transient,25.0,0,0,No-Show,2015-11-01
Resort Hotel,1,33,2015,November,45,1,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,94.0,0,Transient,25.0,0,0,No-Show,2015-11-01
Resort Hotel,0,24,2015,November,45,3,0,3,2,0.0,0,BB,ESP,Corporate,Corporate,0,0,0,A,A,1,No Deposit,281.0,0,Transient-Party,48.0,0,0,Check-Out,2015-11-06
Resort Hotel,0,49,2015,November,45,3,0,4,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,53.0,0,Transient,35.0,0,0,Check-Out,2015-11-07
Resort Hotel,0,24,2015,November,45,3,2,10,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,2,No Deposit,281.0,0,Transient-Party,40.0,0,0,Check-Out,2015-11-15
Resort Hotel,0,24,2015,November,45,3,3,10,2,0.0,0,BB,ITA,Corporate,Corporate,0,0,0,A,A,2,No Deposit,281.0,0,Transient-Party,48.0,0,0,Check-Out,2015-11-16
Resort Hotel,0,24,2015,November,45,3,3,10,2,0.0,0,BB,ITA,Corporate,Corporate,0,0,0,A,A,1,No Deposit,281.0,0,Transient,48.0,0,0,Check-Out,2015-11-16
Resort Hotel,0,24,2015,November,45,3,3,10,2,0.0,0,BB,ESP,Corporate,Corporate,0,0,0,A,A,2,No Deposit,281.0,0,Transient-Party,48.0,0,0,Check-Out,2015-11-16
Resort Hotel,0,24,2015,November,45,3,3,10,1,0.0,0,BB,ITA,Corporate,Corporate,0,0,0,A,A,6,No Deposit,281.0,0,Transient,40.0,0,0,Check-Out,2015-11-16
Resort Hotel,0,24,2015,November,45,3,3,10,2,0.0,0,BB,ITA,Corporate,Corporate,0,0,0,A,A,1,No Deposit,281.0,0,Transient,48.0,0,0,Check-Out,2015-11-16
Resort Hotel,0,24,2015,November,45,3,3,10,1,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,A,2,No Deposit,281.0,0,Transient-Party,40.0,0,0,Check-Out,2015-11-16
Resort Hotel,0,24,2015,November,45,3,3,10,1,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,F,2,No Deposit,281.0,0,Transient-Party,40.0,0,0,Check-Out,2015-11-16
Resort Hotel,0,1,2015,November,45,4,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,286.0,0,Transient,35.0,0,0,Check-Out,2015-11-05
Resort Hotel,1,25,2015,November,45,4,2,9,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,281.0,0,Transient-Party,48.0,0,0,Canceled,2015-10-22
Resort Hotel,1,25,2015,November,45,4,2,9,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,281.0,0,Transient-Party,40.0,0,0,Canceled,2015-10-22
Resort Hotel,0,33,2015,November,45,4,2,9,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,3,No Deposit,281.0,0,Transient-Party,42.55,0,0,Check-Out,2015-11-15
Resort Hotel,0,0,2015,November,45,5,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,12.0,0,Transient,35.0,0,0,Check-Out,2015-11-06
Resort Hotel,0,34,2015,November,45,5,2,8,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,281.0,0,Transient-Party,36.0,0,0,Check-Out,2015-11-15
Resort Hotel,0,34,2015,November,45,5,2,8,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,2,No Deposit,281.0,0,Transient-Party,43.2,0,0,Check-Out,2015-11-15
Resort Hotel,0,27,2015,November,45,6,2,7,1,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,A,1,No Deposit,281.0,0,Transient-Party,40.0,0,0,Check-Out,2015-11-15
Resort Hotel,0,35,2015,November,45,6,4,7,1,0.0,0,BB,AUT,Corporate,Corporate,0,0,0,E,E,2,No Deposit,281.0,0,Transient-Party,52.2,0,0,Check-Out,2015-11-17
Resort Hotel,0,35,2015,November,45,6,4,7,1,0.0,0,BB,AUT,Corporate,Corporate,0,0,0,A,A,2,No Deposit,281.0,0,Transient-Party,36.0,0,0,Check-Out,2015-11-17
Resort Hotel,0,35,2015,November,45,6,4,7,1,0.0,0,BB,AUT,Corporate,Corporate,0,0,0,A,A,2,No Deposit,281.0,0,Transient-Party,36.0,0,0,Check-Out,2015-11-17
Resort Hotel,0,35,2015,November,45,6,4,7,1,0.0,0,BB,AUT,Corporate,Corporate,0,0,0,A,A,3,No Deposit,281.0,0,Transient-Party,36.0,0,0,Check-Out,2015-11-17
Resort Hotel,0,27,2015,November,45,6,2,7,1,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,A,1,No Deposit,281.0,0,Transient-Party,40.0,0,0,Check-Out,2015-11-15
Resort Hotel,0,35,2015,November,45,6,2,7,1,0.0,0,BB,AUT,Corporate,Corporate,0,0,0,E,E,2,No Deposit,281.0,0,Transient-Party,52.2,1,0,Check-Out,2015-11-15
Resort Hotel,0,36,2015,November,45,7,2,6,1,0.0,0,BB,DEU,Corporate,Corporate,0,0,0,A,A,1,No Deposit,281.0,0,Transient-Party,36.0,0,0,Check-Out,2015-11-15
Resort Hotel,1,36,2015,November,45,7,2,6,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,281.0,0,Transient-Party,36.0,0,0,Canceled,2015-11-04
Resort Hotel,0,36,2015,November,45,7,2,6,1,0.0,0,BB,DEU,Corporate,Corporate,0,0,0,A,A,2,No Deposit,281.0,0,Transient-Party,36.0,0,0,Check-Out,2015-11-15
Resort Hotel,0,36,2015,November,45,7,2,6,1,0.0,0,BB,BEL,Corporate,Corporate,0,0,0,A,A,2,No Deposit,281.0,0,Transient-Party,36.0,0,0,Check-Out,2015-11-15
Resort Hotel,0,28,2015,November,45,7,2,6,1,0.0,0,BB,CZE,Corporate,Corporate,0,0,0,A,D,1,No Deposit,281.0,0,Transient-Party,42.0,0,0,Check-Out,2015-11-15
Resort Hotel,0,36,2015,November,45,7,2,6,1,0.0,0,BB,GBR,Corporate,Corporate,0,0,0,A,A,2,No Deposit,281.0,0,Transient-Party,36.0,0,0,Check-Out,2015-11-15
Resort Hotel,0,36,2015,November,45,7,2,6,1,0.0,0,BB,DEU,Corporate,Corporate,0,0,0,A,A,1,No Deposit,281.0,0,Transient-Party,36.0,0,0,Check-Out,2015-11-15
Resort Hotel,0,36,2015,November,45,7,2,6,1,0.0,0,BB,DEU,Corporate,Corporate,0,0,0,A,A,1,No Deposit,281.0,0,Transient-Party,36.0,0,0,Check-Out,2015-11-15
Resort Hotel,0,36,2015,November,45,7,2,6,1,0.0,0,BB,AUT,Corporate,Corporate,0,0,0,A,A,2,No Deposit,281.0,0,Transient-Party,36.75,1,0,Check-Out,2015-11-15
Resort Hotel,0,17,2015,November,46,8,2,5,2,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,A,1,No Deposit,281.0,0,Transient-Party,48.0,0,0,Check-Out,2015-11-15
Resort Hotel,0,37,2015,November,46,8,2,5,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,2,No Deposit,281.0,0,Transient-Party,43.2,0,0,Check-Out,2015-11-15
Resort Hotel,0,37,2015,November,46,8,2,5,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,281.0,0,Transient-Party,36.0,0,0,Check-Out,2015-11-15
Resort Hotel,0,17,2015,November,46,8,2,5,2,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,D,1,No Deposit,281.0,0,Transient-Party,48.0,0,0,Check-Out,2015-11-15
Resort Hotel,0,37,2015,November,46,8,2,5,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,2,No Deposit,281.0,0,Transient-Party,36.0,0,0,Check-Out,2015-11-15
Resort Hotel,0,37,2015,November,46,8,2,5,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,1,No Deposit,281.0,0,Transient-Party,43.2,0,0,Check-Out,2015-11-15
Resort Hotel,1,37,2015,November,46,8,2,5,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,281.0,0,Transient-Party,36.0,0,0,Canceled,2015-10-23
Resort Hotel,1,0,2015,November,46,9,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,270.0,0,Transient,35.0,0,0,Canceled,2015-11-09
Resort Hotel,0,0,2015,November,46,9,1,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,C,1,No Deposit,281.0,0,Group,48.0,0,0,Check-Out,2015-11-10
Resort Hotel,0,14,2015,November,46,9,1,3,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,47.0,0,Transient,35.0,0,0,Check-Out,2015-11-13
Resort Hotel,1,38,2015,November,46,9,1,5,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,3,No Deposit,281.0,0,Transient-Party,36.0,0,0,No-Show,2015-11-09
Resort Hotel,1,38,2015,November,46,9,1,5,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,3,No Deposit,281.0,0,Transient-Party,36.0,0,0,No-Show,2015-11-09
Resort Hotel,1,30,2015,November,46,9,2,5,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,4,No Deposit,281.0,0,Transient-Party,48.0,0,0,No-Show,2015-11-09
Resort Hotel,0,32,2015,November,46,11,0,4,1,0.0,0,BB,ESP,Corporate,Corporate,0,0,0,A,C,4,No Deposit,324.0,0,Transient-Party,40.5,1,0,Check-Out,2015-11-15
Resort Hotel,1,40,2015,November,46,11,0,4,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,281.0,0,Transient-Party,36.0,0,0,Canceled,2015-11-11
Resort Hotel,0,40,2015,November,46,11,0,4,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,2,No Deposit,281.0,0,Transient-Party,36.0,0,0,Check-Out,2015-11-15
Resort Hotel,1,32,2015,November,46,11,0,4,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,281.0,0,Transient-Party,40.0,0,0,Canceled,2015-10-22
Resort Hotel,0,32,2015,November,46,11,0,4,2,0.0,0,BB,ESP,Corporate,Corporate,0,0,0,A,C,4,No Deposit,324.0,0,Transient-Party,43.2,0,0,Check-Out,2015-11-15
Resort Hotel,0,32,2015,November,46,11,0,3,1,0.0,0,BB,DEU,Corporate,Corporate,0,0,0,A,A,3,No Deposit,324.0,0,Transient,36.0,0,0,Check-Out,2015-11-14
Resort Hotel,0,33,2015,November,46,12,0,2,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,C,3,No Deposit,324.0,0,Transient-Party,36.0,0,0,Check-Out,2015-11-14
Resort Hotel,0,41,2015,November,46,12,0,3,2,0.0,0,BB,AUT,Corporate,Corporate,0,0,0,E,E,1,No Deposit,281.0,0,Transient-Party,52.2,0,0,Check-Out,2015-11-15
Resort Hotel,0,33,2015,November,46,12,0,3,1,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,E,2,No Deposit,281.0,0,Transient-Party,40.0,0,0,Check-Out,2015-11-15
Resort Hotel,0,33,2015,November,46,12,0,3,1,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,C,2,No Deposit,281.0,0,Transient-Party,40.0,0,0,Check-Out,2015-11-15
Resort Hotel,0,21,2015,November,46,12,0,3,1,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,A,1,No Deposit,281.0,0,Transient-Party,40.0,0,0,Check-Out,2015-11-15
Resort Hotel,0,33,2015,November,46,12,0,3,1,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,A,3,No Deposit,281.0,0,Transient-Party,40.0,0,0,Check-Out,2015-11-15
Resort Hotel,0,21,2015,November,46,12,0,3,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,E,0,No Deposit,281.0,0,Transient-Party,40.0,0,0,Check-Out,2015-11-15
