edition,start_date,winner_name,winner_team,distance,time_overall,time_margin,stage_wins,stages_led,height,weight,age,born,birth_town,birth_country,nationality,latitude,longitude
49,24-06-1962,Jacques Anquetil,Saint-Raphaël–Helyett–Hutchinson,4274.0,114.5316667,0.067777778,2,3,1.76,70.0,28,08-01-1934,Mont-Saint-Aignan,France,France,46.603354,1.888334
50,23-06-1963,Jacques Anquetil,Saint-Raphaël–Gitane–R. Geminiani,4138.0,113.5013889,0.050833333,4,5,1.76,70.0,29,08-01-1934,Mont-Saint-Aignan,France,France,46.603354,1.888334
51,22-06-1964,Jacques Anquetil,Saint-Raphaël–Gitane–Dunlop,4504.0,127.1622222,0.015277778,4,6,1.76,70.0,30,08-01-1934,Mont-Saint-Aignan,France,France,46.603354,1.888334
52,22-06-1965,Felice Gimondi,Salvarani,4188.0,116.7016667,0.033888889,3,18,1.81,71.0,22,29-09-1942,Sedrina,Italy,Italy,42.638426,12.674297
53,21-06-1966,Lucien Aimar,Ford France–Hutchinson,4329.0,117.5725,0.016944444,0,6,53.61,104.0,25,28-04-1941,Hyères,France,France,46.603354,1.888334
54,29-06-1967,Roger Pingeon,Peugeot–BP–Michelin,4779.0,136.8972222,0.050833333,1,17,1.82,72.0,26,28-08-1940,Hauteville-Lompnes,France,France,46.603354,1.888334
55,27-06-1968,Jan Janssen,Pelforth–Sauvage–Lejeune,4492.0,133.8283333,0.010555556,2,1,55.61,106.0,28,19-05-1940,Nootdorp,Netherlands,Netherlands,52.243498,5.634323
56,28-06-1969,Eddy Merckx,Faema,4117.0,116.2672222,0.288055556,6,18,1.82,74.0,24,17-06-1945,Meensel-Kiezegem,Belgium,Belgium,50.640281,4.666715
57,27-06-1970,Eddy Merckx,Faemino–Faema,4254.0,119.5302778,0.203333333,8,20,1.82,74.0,25,17-06-1945,Meensel-Kiezegem,Belgium,Belgium,50.640281,4.666715
58,26-06-1971,Eddy Merckx,Molteni,3608.0,96.75388889,0.1525,4,17,1.82,74.0,26,17-06-1945,Meensel-Kiezegem,Belgium,Belgium,50.640281,4.666715
59,01-07-1972,Eddy Merckx,Molteni,3846.0,108.2883333,0.169444444,6,15,1.82,74.0,27,17-06-1945,Meensel-Kiezegem,Belgium,Belgium,50.640281,4.666715
60,30-06-1973,Luis Ocaña,Bic,4090.0,122.4261111,0.254166667,6,14,1.65,52.0,28,09-06-1945,Priego,Spain,Spain,39.326068,-4.837979
61,27-06-1974,Eddy Merckx,Molteni,4098.0,116.2827778,0.135555556,8,18,1.82,74.0,29,17-06-1945,Meensel-Kiezegem,Belgium,Belgium,50.640281,4.666715
62,26-06-1975,Bernard Thévenet,Peugeot–BP–Michelin,4000.0,114.5919444,0.033888889,2,8,62.61,113.0,27,10-01-1948,Saint-Julien-de-Civry,France,France,46.603354,1.888334
63,24-06-1976,Lucien Van Impe,Gitane–Campagnolo,4017.0,116.3730556,0.067777778,1,12,63.61,58.0,29,20-10-1946,Mere,Belgium,Belgium,50.640281,4.666715
64,30-06-1977,Bernard Thévenet,Peugeot–Esso–Michelin,4096.0,115.6416667,0.013333333,1,8,64.61,115.0,29,10-01-1948,Saint-Julien-de-Civry,France,France,46.603354,1.888334
65,29-06-1978,Bernard Hinault,Renault–Gitane–Campagnolo,3908.0,108.3,0.050833333,3,3,1.74,62.0,23,14-11-1954,Yffiniac,France,France,46.603354,1.888334
66,27-06-1979,Bernard Hinault,Renault–Gitane,3765.0,103.1138889,0.220277778,7,17,1.74,62.0,24,14-11-1954,Yffiniac,France,France,46.603354,1.888334
67,26-06-1980,Joop Zoetemelk,TI–Raleigh–Creda,3842.0,109.3205556,0.101666667,2,10,1.73,68.0,33,03-12-1946,The Hague,Netherlands,Netherlands,52.243498,5.634323
68,25-06-1981,Bernard Hinault,Renault–Elf–Gitane,3753.0,96.32722222,0.237222222,5,18,1.74,62.0,26,14-11-1954,Yffiniac,France,France,46.603354,1.888334
69,02-07-1982,Bernard Hinault,Renault–Elf–Gitane,3507.0,92.14611111,0.101666667,4,12,1.74,62.0,27,14-11-1954,Yffiniac,France,France,46.603354,1.888334
70,01-07-1983,Laurent Fignon,Renault–Elf,3809.0,105.1311111,0.067777778,1,6,1.74,67.0,22,12-08-1960,Paris,France,France,46.603354,1.888334
71,29-06-1984,Laurent Fignon,Renault–Elf,4021.0,112.0611111,0.169444444,5,7,1.74,67.0,23,12-08-1960,Paris,France,France,46.603354,1.888334
72,28-06-1985,Bernard Hinault,La Vie Claire,4109.0,113.4063889,0.016944444,2,16,1.74,62.0,30,14-11-1954,Yffiniac,France,France,46.603354,1.888334
73,04-07-1986,Greg LeMond,La Vie Claire,4094.0,110.5886111,0.050833333,1,7,1.78,67.0,25,26-06-1961,Lakewood,USA,United States,39.78373,-100.445882
75,02-07-1988,Pedro Delgado,Reynolds,3286.0,84.46472222,0.118611111,1,11,1.71,64.0,28,15-04-1960,Segovia,Spain,Spain,39.326068,-4.837979
76,01-07-1989,Greg LeMond,AD Renting–W-Cup–Bottecchia,3285.0,87.64305556,0.002222222,3,8,1.78,67.0,28,26-06-1961,Lakewood,USA,United States,39.78373,-100.445882
77,30-06-1990,Greg LeMond,Z–Tomasso,3504.0,90.72222222,0.033888889,0,2,1.78,67.0,29,26-06-1961,Lakewood,USA,United States,39.78373,-100.445882
78,06-07-1991,Miguel Induráin,Banesto,3914.0,101.0222222,0.050833333,2,10,1.86,80.0,26,16-07-1964,Villava,Spain,Spain,39.326068,-4.837979
79,04-07-1992,Miguel Induráin,Banesto,3983.0,100.825,0.067777778,3,10,1.86,80.0,27,16-07-1964,Villava,Spain,Spain,39.326068,-4.837979
80,03-07-1993,Miguel Induráin,Banesto,3714.0,95.9525,0.067777778,2,14,1.86,80.0,28,16-07-1964,Villava,Spain,Spain,39.326068,-4.837979
81,02-07-1994,Miguel Induráin,Banesto,3978.0,103.6438889,0.084722222,1,13,1.86,80.0,29,16-07-1964,Villava,Spain,Spain,39.326068,-4.837979
82,01-07-1995,Miguel Induráin,Banesto,3635.0,92.74972222,0.067777778,2,13,1.86,80.0,30,16-07-1964,Villava,Spain,Spain,39.326068,-4.837979
84,05-07-1997,Jan Ullrich,Team Telekom,3950.0,100.5097222,0.1525,2,12,1.83,73.0,23,02-12-1973,Rostock,Germany,Germany,40.420348,-79.116698
85,11-07-1998,Marco Pantani,Mercatone Uno–Bianchi,3875.0,92.82944444,0.050833333,2,7,1.72,57.0,28,13-01-1970,Cesena,Italy,Italy,42.638426,12.674297
86,03-07-1999,Lance Armstrong,U.S. Postal Service,3687.0,91.53777778,0.118611111,4,15,1.77,75.0,27,18-09-1971,Plano,USA,United States,39.78373,-100.445882
87,01-07-2000,Lance Armstrong,U.S. Postal Service,3662.0,92.55222222,0.101666667,1,12,1.77,75.0,28,18-09-1971,Plano,USA,United States,39.78373,-100.445882
88,07-07-2001,Lance Armstrong,U.S. Postal Service,3458.0,86.29111111,0.101666667,4,8,1.77,75.0,29,18-09-1971,Plano,USA,United States,39.78373,-100.445882
89,06-07-2002,Lance Armstrong,U.S. Postal Service,3272.0,82.08666667,0.118611111,4,11,1.77,75.0,30,18-09-1971,Plano,USA,United States,39.78373,-100.445882
90,05-07-2003,Lance Armstrong,U.S. Postal Service,3427.0,83.68666667,0.016944444,1,13,1.77,75.0,31,18-09-1971,Plano,USA,United States,39.78373,-100.445882
91,03-07-2004,Lance Armstrong,U.S. Postal Service,3391.0,83.60055556,0.101666667,5,7,1.77,75.0,32,18-09-1971,Plano,USA,United States,39.78373,-100.445882
92,02-07-2005,Lance Armstrong,Discovery Channel,3593.0,86.25055556,0.067777778,1,17,1.77,75.0,33,18-09-1971,Plano,USA,United States,39.78373,-100.445882
93,01-07-2006,Óscar Pereiro,Caisse d'Epargne–Illes Balears,3657.0,89.67416667,0.008888889,0,8,1.77,68.0,28,03-08-1977,Mos,Spain,Spain,39.326068,-4.837979
94,07-07-2007,Alberto Contador,Discovery Channel,3570.0,91.00722222,0.006388889,1,4,1.76,62.0,24,06-12-1982,Pinto,Spain,Spain,39.326068,-4.837979
95,05-07-2008,Carlos Sastre,Team CSC,3559.0,87.88111111,0.016111111,1,5,1.73,60.0,33,22-04-1975,Leganés,Spain,Spain,39.326068,-4.837979
96,04-07-2009,Alberto Contador,Astana,3459.0,85.80972222,0.067777778,2,7,1.76,62.0,26,06-12-1982,Pinto,Spain,Spain,39.326068,-4.837979
97,03-07-2010,Andy Schleck,Team Saxo Bank,3642.0,91.99083333,0.016944444,2,12,1.86,68.0,25,10-06-1985,Luxembourg City,Luxembourg,Luxembourg,49.611277,6.129799
99,20-06-2012,Bradley Wiggins,Team Sky,3496.0,87.57972222,0.050833333,2,14,1.9,69.0,32,28-04-1980,Ghent,Belgium,Great Britain,54.315159,-1.918153
100,29-06-2013,Chris Froome,Team Sky,3404.0,83.93888889,0.067777778,3,14,1.86,69.0,28,20-05-1985,Nairobi,Kenya,Great Britain,54.315159,-1.918153
101,05-07-2014,Vincenzo Nibali,Astana,3660.5,89.985,0.118611111,4,19,1.8,65.0,29,14-11-1984,Messina,Italy,Italy,42.638426,12.674297
102,04-07-2015,Chris Froome,Team Sky,3360.3,84.77055556,0.016944444,1,16,1.86,69.0,30,20-05-1985,Nairobi,Kenya,Great Britain,54.315159,-1.918153
103,02-07-2016,Chris Froome,Team Sky,3529.0,89.08,0.067777778,2,14,1.86,69.0,31,20-05-1985,Nairobi,Kenya,Great Britain,54.315159,-1.918153
104,01-07-2017,Chris Froome,Team Sky,3540.0,86.34861111,0.015,0,15,1.86,69.0,32,20-05-1985,Nairobi,Kenya,Great Britain,54.315159,-1.918153
105,07-07-2018,Geraint Thomas,Team Sky,3349.0,83.28694444,0.016944444,2,11,1.83,71.0,32,25-05-1986,Cardiff,Wales,Great Britain,54.315159,-1.918153
