hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,5,2015,October,41,10,2,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,74.2,0,0,Check-Out,2015-10-15
Resort Hotel,0,139,2016,July,29,14,2,8,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Contract,104.55,0,0,Check-Out,2016-07-24
Resort Hotel,0,13,2016,October,42,10,1,0,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,39.0,0,0,Check-Out,2016-10-11
City Hotel,1,0,2015,September,38,17,0,1,2,0.0,0,BB,PRT,Direct,Direct,1,0,0,A,A,0,No Deposit,0,Transient,62.8,0,0,Canceled,2015-09-17
City Hotel,0,163,2016,August,34,15,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,72.25,0,1,Check-Out,2016-08-22
Resort Hotel,1,63,2016,May,23,31,0,5,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,105.8,0,1,Canceled,2016-05-13
City Hotel,1,146,2017,July,30,27,2,4,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,0,Transient,132.92,0,0,Canceled,2017-03-03
Resort Hotel,0,214,2017,March,12,24,2,5,2,0.0,0,HB,GBR,Groups,TA/TO,0,0,0,D,D,1,No Deposit,0,Transient-Party,63.2,0,0,Check-Out,2017-03-31
City Hotel,0,57,2016,November,46,11,1,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,64.37,0,1,Check-Out,2016-11-14
City Hotel,0,243,2016,September,37,9,1,2,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,106.2,0,2,Check-Out,2016-09-12
City Hotel,0,226,2016,July,30,22,0,2,2,0.0,0,BB,USA,Groups,TA/TO,0,0,0,A,E,0,No Deposit,96,Transient-Party,76.5,0,1,Check-Out,2016-07-24
Resort Hotel,0,0,2015,November,46,10,0,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,58.0,0,0,Check-Out,2015-11-12
Resort Hotel,0,48,2016,November,46,7,1,4,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,29.0,0,0,Check-Out,2016-11-12
Resort Hotel,1,351,2017,April,14,8,2,5,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient-Party,82.0,0,0,Canceled,2017-01-26
Resort Hotel,1,137,2017,February,6,10,2,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,46.8,0,1,Canceled,2017-01-20
Resort Hotel,1,317,2017,May,21,24,2,5,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,54.0,0,0,Canceled,2016-07-22
City Hotel,1,129,2016,May,20,11,1,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,112.03,0,1,Canceled,2016-05-08
City Hotel,0,71,2017,February,8,19,2,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,98.6,0,3,Check-Out,2017-02-23
Resort Hotel,0,126,2017,February,9,27,1,2,2,2.0,0,BB,POL,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,0,Transient,82.0,0,1,Check-Out,2017-03-02
Resort Hotel,1,2,2016,September,39,24,2,1,2,2.0,0,BB,BEL,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,0,Transient,165.0,0,0,Canceled,2016-09-23
Resort Hotel,0,101,2016,April,16,16,2,2,3,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,C,1,No Deposit,0,Transient,17.6,1,1,Check-Out,2016-04-20
City Hotel,1,285,2017,April,16,17,1,3,2,1.0,0,BB,BHR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,126.0,0,1,Canceled,2016-12-13
Resort Hotel,0,8,2016,April,16,14,0,1,1,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,0,Transient,96.25,0,0,Check-Out,2016-04-15
Resort Hotel,0,3,2016,January,3,15,0,2,2,0.0,0,HB,ESP,Direct,Direct,0,0,0,D,D,1,No Deposit,0,Transient,119.0,0,0,Check-Out,2016-01-17
Resort Hotel,1,313,2017,May,21,27,2,5,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,D,D,0,No Deposit,0,Transient,73.41,0,0,Canceled,2017-01-06
Resort Hotel,0,40,2017,May,22,28,2,0,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,75.6,0,0,Check-Out,2017-05-30
City Hotel,1,148,2016,July,28,8,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,136.8,0,1,Canceled,2016-03-07
Resort Hotel,0,325,2016,December,53,31,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,38.57,0,0,Check-Out,2017-01-07
Resort Hotel,1,219,2016,September,37,10,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,0,Transient,115.0,0,1,Canceled,2016-08-17
City Hotel,1,97,2016,October,43,17,2,5,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,108.0,0,0,Canceled,2016-07-12
City Hotel,0,0,2016,April,15,5,0,1,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,89.0,0,0,Check-Out,2016-04-06
City Hotel,1,86,2016,October,44,26,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,104.4,0,1,Canceled,2016-09-15
Resort Hotel,1,89,2017,August,33,14,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,230.0,0,0,Canceled,2017-06-05
Resort Hotel,0,5,2016,January,2,9,2,2,2,0.0,0,BB,FIN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,50.0,0,1,Check-Out,2016-01-13
City Hotel,0,4,2016,October,44,25,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,95.0,0,0,Check-Out,2016-10-28
City Hotel,0,66,2017,April,17,26,0,3,2,0.0,1,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,126.0,0,1,Check-Out,2017-04-29
City Hotel,0,64,2017,April,14,3,1,4,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,162.0,0,1,Check-Out,2017-04-08
City Hotel,0,43,2016,January,4,19,0,5,2,0.0,0,BB,ROU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,77.69,0,1,Check-Out,2016-01-24
City Hotel,0,154,2017,August,32,9,2,5,2,0.0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,121.43,0,0,Check-Out,2017-08-16
City Hotel,0,122,2016,June,25,16,0,3,2,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,116.1,0,2,Check-Out,2016-06-19
Resort Hotel,0,42,2015,August,35,26,0,4,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,135.14,0,0,Check-Out,2015-08-30
Resort Hotel,0,6,2015,September,36,3,0,3,2,0.0,0,BB,FRA,Corporate,Direct,0,0,0,A,A,0,No Deposit,0,Transient-Party,88.2,0,0,Check-Out,2015-09-06
Resort Hotel,0,152,2017,March,12,25,0,1,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,52.0,1,1,Check-Out,2017-03-26
City Hotel,1,1,2015,September,37,9,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,142.0,0,1,No-Show,2015-09-09
Resort Hotel,0,212,2017,August,31,3,2,5,3,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Contract,206.03,0,1,Check-Out,2017-08-10
City Hotel,0,180,2016,October,42,10,1,2,1,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,120.0,0,0,Check-Out,2016-10-13
City Hotel,1,114,2016,August,35,27,0,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,128.7,0,0,Canceled,2016-05-22
City Hotel,0,7,2017,March,10,10,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,124.67,0,1,Check-Out,2017-03-13
Resort Hotel,0,6,2016,November,45,1,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,45.0,0,0,Check-Out,2016-11-02
City Hotel,0,75,2017,April,14,5,0,4,2,0.0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,95.0,0,0,Check-Out,2017-04-09
City Hotel,0,7,2015,August,33,15,2,3,2,1.0,0,BB,LUX,Direct,Direct,0,0,0,A,D,0,No Deposit,0,Transient,90.0,0,1,Check-Out,2015-08-20
Resort Hotel,0,272,2016,August,35,25,2,3,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,129.6,0,0,Check-Out,2016-08-30
City Hotel,0,27,2016,July,30,23,0,1,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,0,Transient,187.0,0,2,Check-Out,2016-07-24
City Hotel,0,3,2016,July,29,14,0,1,2,0.0,0,SC,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,75.0,0,1,Check-Out,2016-07-15
Resort Hotel,0,1,2017,May,18,2,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,1,0,6,A,A,0,No Deposit,0,Transient,66.0,0,1,Check-Out,2017-05-03
City Hotel,1,30,2017,August,35,30,0,3,2,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,D,D,4,No Deposit,0,Transient,166.33,0,1,Canceled,2017-08-17
City Hotel,0,109,2016,August,33,12,1,2,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,107.1,0,1,Check-Out,2016-08-15
City Hotel,0,62,2016,November,47,19,2,1,3,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,126.0,0,3,Check-Out,2016-11-22
City Hotel,0,72,2017,June,25,18,2,0,2,0.0,0,SC,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,140.0,0,1,Check-Out,2017-06-20
City Hotel,1,118,2015,August,34,20,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,63.75,0,0,No-Show,2015-08-20
City Hotel,1,393,2017,April,16,22,2,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,90.0,0,0,Canceled,2016-04-17
City Hotel,0,118,2017,August,34,20,2,3,1,0.0,0,SC,ISR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,115.0,0,1,Check-Out,2017-08-25
City Hotel,1,17,2016,February,7,9,0,2,3,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,136.0,0,0,Canceled,2016-01-31
Resort Hotel,0,319,2017,May,20,20,4,6,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,54.0,0,2,Check-Out,2017-05-30
Resort Hotel,0,145,2016,August,33,13,2,2,2,1.0,0,BB,ITA,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient-Party,183.6,0,0,Check-Out,2016-08-17
Resort Hotel,0,4,2016,December,50,7,0,4,2,0.0,0,HB,ROU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,65.83,0,1,Check-Out,2016-12-11
Resort Hotel,0,1,2016,October,42,12,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,1,No Deposit,0,Group,55.0,0,0,Check-Out,2016-10-13
City Hotel,0,150,2015,August,32,2,2,0,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,76.5,0,1,Check-Out,2015-08-04
Resort Hotel,0,11,2016,January,3,15,0,2,2,0.0,0,BB,PRT,Complementary,Direct,0,0,0,A,D,0,No Deposit,0,Transient,0.0,0,0,Check-Out,2016-01-17
City Hotel,0,6,2016,September,36,2,2,3,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,97.79,0,1,Check-Out,2016-09-07
